#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A966DF
#Date Time: 2023-12-22 19:24:04.377
#Start: 20 Hz
#Stop: 20000 Hz
#Steps: 301
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 61.5666 V
#Offset: -0.00131367 V
#Relative: no

#
Frequency (Hz),Channel 1 Magnitude (dB)
72.61561095402035,-58.68881104486729
74.30704581943456,-58.58350308153283
76.03787926411233,-58.51262292595334
77.80902899885618,-58.39878178627141
79.62143411069947,-58.25516101420232
81.4760555608226,-58.07708402881021
83.37387669406719,-58.07620510334264
85.31590376031861,-58.07183796494861
87.30316644803331,-57.78029310951595
89.33671843019269,-57.71624150966169
91.41763792297505,-57.9547840913643
93.54702825743972,-57.62716402449738
95.7260184645278,-57.34515038011286
97.95576387368932,-57.18887422363718
100.2374467254546,-57.14288045106193
102.5722767982731,-56.94019946276467
104.9614920499546,-56.85628724131593
107.4063592740506,-56.47641216894208
109.9081747715251,-56.38844001271813
112.4682650380699,-56.33648056880544
115.0879874674316,-56.00019664403499
117.7687310711178,-55.84538912384808
120.5119172148716,-55.65599436341159
123.3190003722964,-55.72786512893406
126.1914688960387,-55.76329385471268
129.1308458069313,-55.3160088808344
132.1386896015193,-55.09096571807574
135.2165950783964,-54.84279661273179
138.3661941837874,-55.09212892644436
141.5891568768276,-54.80951410800365
144.8871920149981,-54.47845881413631
148.2620482601837,-54.4252439628997
151.7155150058369,-54.24869961781867
155.2494233257384,-53.97979328809987
158.8656469448564,-54.02619706452111
162.5661032328199,-53.71778527818387
166.3527542205344,-53.63714334656479
170.2276076404755,-53.23246438760306
174.1927179912163,-53.31075555742262
178.2501876267492,-53.1857954791053
182.4021678711821,-52.94930397399924
186.6508601593983,-52.85980638464225
190.9985172042874,-52.55935008236064
195.4474441911624,-52.31811158841846
200,-52.27484730248808
204.6585984561509,-52.07226185499154
209.4257096101801,-51.97639032551685
214.3038610475213,-51.82933560396542
219.2956392286371,-51.52883917692084
224.4036908603928,-51.52333306571983
229.6307242993766,-51.32695768369285
234.9795109879061,-51.15017448375362
240.4528869234827,-50.97948795671294
246.0537541624764,-51.02940250673045
251.7850823588336,-50.71827595648048
257.649910338627,-50.46326610758702
263.6513477112815,-50.35557186256984
269.7925765183309,-50.0963066864043
276.0768529205772,-50.13555623452478
282.507508924551,-50.05099214923788
289.0879541491857,-49.80051192996826
295.8216776336417,-49.60190866048887
302.7122496872418,-49.3921401250917
309.7633237824966,-49.39183024991333
316.978638492223,-49.16870317260019
324.3620194717861,-49.04374011143739
331.9173814875124,-48.93965581326817
339.6487304923489,-48.71795001736303
347.5601657498752,-48.58914579934812
355.655882007785,-48.45983367458514
363.9401717219967,-48.43556253905525
372.4174273325737,-48.1994164034942
381.0921435926499,-48.3010392327547
389.9689199516091,-47.96611237611832
399.0524629937762,-47.7473333623044
408.3475889339061,-47.66217470688141
417.8592261708079,-47.60591353465411
427.5924179004467,-47.44902100657114
