Freq.	V(mc)	V(mm)
3.55655882007781e+004	(-4.30398165893394e+001dB,8.03924629869229e+001°)	(-1.97180042836793e+001dB,8.03924629869229e+001°)
3.63940171721993e+004	(-4.28434375745612e+001dB,8.02941408538609e+001°)	(-1.95216252689011e+001dB,8.02941408538609e+001°)
3.72417427332570e+004	(-4.26471667483989e+001dB,8.01908389786403e+001°)	(-1.93253544427388e+001dB,8.01908389786403e+001°)
3.81092143592646e+004	(-4.24510117035845e+001dB,8.00825121099041e+001°)	(-1.91291993979244e+001dB,8.00825121099041e+001°)
3.89968919951605e+004	(-4.22549802510273e+001dB,7.99691131324986e+001°)	(-1.89331679453672e+001dB,7.99691131324986e+001°)
3.99052462993772e+004	(-4.20590804336071e+001dB,7.98505930872381e+001°)	(-1.87372681279470e+001dB,7.98505930872381e+001°)
4.08347588933902e+004	(-4.18633205402248e+001dB,7.97269011931759e+001°)	(-1.85415082345647e+001dB,7.97269011931759e+001°)
4.17859226170804e+004	(-4.16677091201183e+001dB,7.95979848725627e+001°)	(-1.83458968144583e+001dB,7.95979848725627e+001°)
4.27592417900442e+004	(-4.14722549974489e+001dB,7.94637897786834e+001°)	(-1.81504426917889e+001dB,7.94637897786834e+001°)
4.37552324789906e+004	(-4.12769672861636e+001dB,7.93242598267763e+001°)	(-1.79551549805036e+001dB,7.93242598267763e+001°)
4.47744227713664e+004	(-4.10818554051371e+001dB,7.91793372282508e+001°)	(-1.77600430994770e+001dB,7.91793372282508e+001°)
4.58173530553550e+004	(-4.08869290935942e+001dB,7.90289625284307e+001°)	(-1.75651167879341e+001dB,7.90289625284307e+001°)
4.68845763063980e+004	(-4.06921984268144e+001dB,7.88730746480640e+001°)	(-1.73703861211543e+001dB,7.88730746480640e+001°)
4.79766583803894e+004	(-4.04976738321144e+001dB,7.87116109288516e+001°)	(-1.71758615264543e+001dB,7.87116109288516e+001°)
4.90941783137001e+004	(-4.03033661051068e+001dB,7.85445071832585e+001°)	(-1.69815537994467e+001dB,7.85445071832585e+001°)
5.02377286301911e+004	(-4.01092864262270e+001dB,7.83716977488863e+001°)	(-1.67874741205670e+001dB,7.83716977488863e+001°)
5.14079156553768e+004	(-3.99154463775200e+001dB,7.81931155476945e+001°)	(-1.65936340718599e+001dB,7.81931155476945e+001°)
